;Index;wheat;maize;soybeans;rice;class;Word1;Word2;Word3;Word4;Word5
0;26395;43.0;42.0;25.0;20.0;0.0;wheat;corn;lot;futur;price
1;9705;1.0;3.0;1.0;0.0;5.0;mmt;corn;year;product;last
2;44934;0.0;0.0;0.0;0.0;5.0;food;emporium;said;new;bridgemarket
3;47393;0.0;0.0;0.0;0.0;5.0;parti;said;sayekbok;econom;year
4;760;4.0;1.0;1.0;0.0;5.0;euro;wheat;last;us;pound
5;57654;2.0;1.0;0.0;1.0;5.0;commod;percent;index;us;drop
6;14210;40.0;18.0;13.0;17.0;0.0;wheat;crop;mmt;year;winter
7;46244;0.0;0.0;0.0;0.0;5.0;said;sharp;board;peopl;compani
8;13531;0.0;0.0;0.0;0.0;5.0;greec;bank;capit;euro;control
9;4617;27.0;20.0;8.0;8.0;0.0;cocoa;price;wheat;grind;futur
10;31959;35.0;28.0;16.0;16.0;0.0;wheat;price;coffe;corn;futur
11;22846;32.0;24.0;13.0;11.0;0.0;wheat;price;fund;futur;net
12;52476;0.0;0.0;0.0;0.0;5.0;china;plugin;said;us;ev
13;2040;21.0;2.0;1.0;2.0;0.0;bushel;million;wheat;forecast;estim
14;54210;0.0;0.0;0.0;0.0;5.0;23andm;fda;said;use;compani
15;23963;0.0;0.0;0.0;0.0;5.0;peopl;said;enrol;health;exchang
16;22429;0.0;0.0;0.0;0.0;5.0;busi;cisco;belkin;close;said
17;28599;0.0;0.0;0.0;0.0;5.0;percent;saudi;european;oil;sinc
18;38910;0.0;0.0;0.0;0.0;5.0;merkel;said;year;polic;new
19;21563;0.0;0.0;0.0;0.0;5.0;appl;iphon;china;event;consum
20;39365;0.0;0.0;0.0;0.0;5.0;court;appeal;muslim;citi;constitut
21;15080;0.0;0.0;0.0;0.0;5.0;tax;propos;529;plan;said
22;514;21.0;14.0;12.0;5.0;0.0;wheat;close;corn;15;export
23;44536;0.0;0.0;0.0;0.0;5.0;percent;economi;year;said;novemb
24;39001;0.0;0.0;0.0;0.0;5.0;migrant;calai;uk;three;spokesman
25;39901;0.0;0.0;0.0;0.0;5.0;appl;said;compani;iphon;sale
26;54295;0.0;0.0;0.0;0.0;5.0;said;nomura;euro;nordvig;month
27;44917;0.0;0.0;0.0;0.0;5.0;molli;photograph;sj;lowebloomberg;arrondiss
28;37879;0.0;0.0;0.0;0.0;5.0;prepa;agreement;debt;bondhold;said
29;7018;0.0;0.0;0.0;0.0;5.0;said;pope;abort;republican;would
30;35242;0.0;0.0;0.0;0.0;5.0;said;kuaidi;didi;china;compani
31;44446;0.0;0.0;0.0;0.0;5.0;last;market;look;said;maker
32;874;2.0;1.0;0.0;45.0;5.0;mill;ardent;compani;said;new
33;39612;0.0;0.0;0.0;0.0;5.0;market;stock;say;china;trade
