DATE,IGC GOI,Wheat,Maize,Soyabeans,Rice,Barley
36528,96.67,96.95,96.92,94.91,99.19,98.5
36529,97.01,97.09,97.1,95.62,99.45,98.56
36530,97.09,97.23,97.27,95.57,99.72,98.63
36531,97.4,97.36,97.45,96.27,99.77,98.7
36532,97.44,98.45,94.3,96.73,99.99,98.77
36535,98,98.87,95.87,97.19,100.05,99.04
36536,98.55,99.28,97.45,97.64,100.11,99.31
36537,99.54,100.01,101.11,98.1,100.18,99.58
36538,100.06,100.56,102.16,98.55,100.24,99.85
36539,99.7,100.94,97.97,99.01,100.21,100.12
36542,100.5,101.1,101.64,99.57,100.16,100.25
36543,100.8,101.17,102.16,100.12,100.11,100.39
36544,101.18,101.51,102.68,100.68,100.05,100.53
36545,101.22,101.31,102.16,101.24,100,100.66
36546,101,101.47,99.02,101.79,100.12,100.8
36549,102.28,101.81,104.78,102.66,100.12,100.86
36550,102.37,101.44,104.26,103.52,100.12,100.93
36551,102.3,100.88,103.21,104.38,100.12,101
36552,102.77,101.22,103.73,105.24,100.12,101.07
36553,102.27,100.76,99.54,106.1,100.12,101.13
36556,101.84,100.6,99.23,105.14,100.03,101.34
36557,101.42,100.44,98.91,104.17,99.94,101.54
36558,101.02,100.28,98.6,103.21,99.86,101.74
36559,100.59,100.12,98.28,102.25,99.77,101.95
36560,100.17,99.87,97.97,101.29,99.94,102.15
36563,100.59,100.17,99.54,101.49,100.08,102.15
36564,101.01,100.47,101.11,101.69,100.22,102.15
36565,101.24,101.22,100.59,101.9,100.36,102.15
36566,101.47,101.97,100.06,102.1,100.5,102.15
36567,101.69,102.72,99.54,102.3,100.46,102.15
36570,101.73,102.7,99.44,102.45,100.6,102.08
36571,101.68,102.41,99.33,102.6,100.73,102.01
36572,101.55,102.04,99.23,102.76,100.87,101.95
36573,101.56,101.93,99.12,102.91,101.01,101.88
36574,101.53,101.92,98.49,103.06,101.28,101.81
36577,101.46,101.77,98.28,102.66,101.04,106.34
36578,101.09,101.28,98.07,102.25,100.8,106.14
36579,100.53,100.51,97.34,101.84,100.56,105.94
36580,100.3,100.46,97.13,101.44,100.32,105.73
36581,99.85,100.23,95.87,101.03,100.08,105.53
36584,99.71,99.5,96.14,101.24,99.85,105.53
36585,99.78,99.21,96.92,101.44,99.62,105.53
36586,99.87,99.19,97.45,101.64,99.4,105.53
36587,99.93,99,97.97,101.84,99.17,105.53
36588,99.8,98.54,97.97,102.05,98.72,105.53
36591,99.82,98.79,97.76,102.05,98.63,105.33
36592,99.84,99.03,97.55,102.05,98.55,105.13
36593,99.88,99.28,97.34,102.05,98.46,104.92
36594,99.9,99.53,97.13,102.05,98.38,104.72
36595,99.92,99.78,96.92,102.05,98.29,104.52
36598,100.69,100.39,99.02,102.86,98.07,104.52
36599,101.55,100.99,101.64,103.67,97.86,104.52
36600,101.52,100.88,100.06,104.48,97.64,104.52
36601,101.76,100.78,100.06,105.29,97.42,104.52
36602,102.56,101.47,102.16,106.1,97.2,104.52
36605,102.12,100.95,101.11,105.85,96.98,104.52
36606,101.64,100.08,100.59,105.59,96.76,104.52
36607,101.4,100.01,99.54,105.34,96.54,104.52
36608,100.71,99.23,97.45,105.09,96.32,104.52
36609,100.49,98.8,97.97,104.83,95.75,104.52
36612,100.92,99.11,98.49,105.64,95.69,104.31
36613,100.67,99.05,95.35,106.45,95.62,104.11
36614,101.1,99.44,95.87,107.26,95.56,103.91
36615,101.93,100.01,98.49,108.07,95.5,103.7
36616,102.83,101.03,100.59,108.88,95.44,103.5
36619,102.6,101.22,100.27,108.18,95.25,104.11
36620,102.38,101.42,99.96,107.47,95.06,104.72
36621,102.14,101.61,99.65,106.76,94.87,105.33
36622,101.92,101.81,99.33,106.05,94.69,105.94
36623,101.72,102.09,99.02,105.34,94.5,106.55
36626,101.61,101.83,97.97,105.74,94.5,106.75
36627,101.67,101.69,97.71,106.15,94.5,106.95
36628,101.75,101.56,97.45,106.55,94.5,107.15
36629,101.83,101.38,97.45,106.96,94.5,107.36
36630,101.89,101.29,97.45,107.37,94.14,107.56
36633,101.58,101.1,96.4,107.16,93.94,107.66
36634,101.62,100.99,97.45,106.96,93.74,107.76
36635,101.71,101.06,98.49,106.76,93.54,107.86
36636,101.61,101.13,98.23,106.55,93.34,107.97
36637,101.48,101.12,97.97,106.35,93.14,108.07
36640,101.53,101.04,98.49,106.45,92.94,108.17
36641,101.7,101.06,99.54,106.55,92.74,108.27
36642,101.6,100.81,99.54,106.66,92.53,108.37
36643,101.31,100.39,98.49,106.76,92.33,108.47
36644,101.04,100.31,96.92,106.86,92.13,108.58
36647,101.69,101.27,98.62,107.67,90.65,108.47
36648,102.46,102.23,100.33,108.48,90.06,108.37
36649,103.26,103.18,102.03,109.29,89.47,108.27
36650,104.02,104.14,103.73,110.1,88.88,108.17
36651,104.46,105.65,102.16,110.91,88.29,108.07
36654,104.45,105.83,101.95,110.76,88.34,108.17
36655,104.43,106.01,101.74,110.61,88.38,108.27
36656,104.39,106.18,101.53,110.45,88.43,108.37
36657,104.38,106.36,101.32,110.3,88.47,108.47
36658,104.37,106.54,101.11,110.15,88.56,108.58
36661,103.58,105.94,98.49,109.54,88.61,108.68
36662,103.05,105.69,96.92,108.94,88.65,108.78
36663,102.71,105.26,96.92,108.33,88.7,108.88
36664,102.51,104.74,97.97,107.72,88.74,108.98
36665,102.48,104.76,100.06,107.11,88.79,104.85
36668,102.76,105.45,101.11,106.81,88.79,105.19
36669,102.49,105.97,99.02,106.5,88.79,105.53
36670,102.24,106.04,97.97,106.2,88.79,105.87
36671,101.95,106.2,96.4,105.9,88.79,106.21
36672,102.01,106.45,96.92,105.59,88.79,106.55
36675,102.06,108.21,95.09,105.04,88.69,106.48
36676,101.4,107.67,93.25,104.48,88.59,106.41
36677,101.21,107.73,93.25,103.92,88.49,106.34
36678,101.01,107.39,94.04,103.36,88.39,106.28
36679,100.82,107.05,94.83,102.81,88.29,106.21
36682,100.69,106.97,94.09,102.91,88.29,106
36683,100.57,106.89,93.36,103.01,88.28,105.8
36684,100.44,106.81,92.63,103.11,88.27,105.6
36685,100.32,106.73,91.89,103.21,88.26,105.4
36686,100.2,106.65,91.16,103.31,88.25,105.19
36689,99.32,106.11,86.44,103.47,88.24,104.99
36690,99.25,106.07,85.92,103.62,88.23,104.79
36691,99.12,105.73,85.4,103.77,88.22,104.58
