Afghanistan;Islamic Republic of Afghanistan, AFG;;;;
Albania;Republic of Albania (official, English), Arnavutluk (Turkish), ALB;;;;
Algeria ;People's Democratic Republic of Algeria (official, English), DZA;;;;
Andorra;Principality of Andorra, AND;;;;
Angola;Republic of Angola, AGO;;;;
Antigua and Barbuda;Antigua, Barbuda, ATG;;;;
Argentina ;Argentine Republic (official, English), la Argentina (colloquial, Spanish), the Argentine (archaic, English), Argentine Nation (official and legally preferred, English), United Provinces of the RÕo de la Plata (official, English), Argentine Confederation (official, English), ARG;;;;
Armenia ;Hayastan (transliterated Armenian, original: ________), Republic of Armenia (official, English), ARM;;;;
Australia ;Commonwealth of Australia (official, English), New Holland (former name, English), AUS;;;;
Austria ;Republic of Austria (official, English), Republik Ésterreich (official, German), Ésterreich (common, German), AUT;;;;
Azerbaijan ;Republic of Azerbaijan (official, English), AZE;;;;
Bahamas;Commonwealth of the Bahamas, BHS;;;;
Bahrain;Kingdom of Bahrain, BHR;;;;
Bangladesh;People's Republic of Bangladesh (long official name in English), BGD;;;;
Barbados;BRB;;;;
Belarus;Republic of Belarus (official, English), Gudija (Lithuanian), Byelorussia (former name), White Russia (outdated);;;;
Belgium;Kingdom of Belgium, Royaume de Belgique, Koninkrijk België, Belgique, België, BEL;;;;
Belize;British Honduras (former, English), BLZ;;;;
Benin;Dahomey (former name), Republic of Benin (official, English), R_publique du B_nin (official, French), BEN;;;;
Buthan;Kingdom of Buthan, BTN;;;;
Bolivia;Plurinational State of Bolivia, Buliwya, Mborivia, BOL;;;;
Bosnia and Herzegovina;Bosnia, Herzegovina, Bosnia-Herzegovina, BIH;;;;
Botswana;Bechuanaland (former, English), Republic of Botswana (official, English), BWA;;;;
Brazil;Pindorama (native, pre-colonization, Tupi-GuaranÕ), Terra de Santa Cruz (early Portuguese colonization), Ilha de Vera Cruz (former, Portuguese), Empire of Brazil (former, English), United States of Brazil (former, English), Federative Republic of Brazil (official, English), RepÏblica Federativa do Brasil (official, Portuguese), Terra di Papaga (former, Italian), BRA;;;;
Brunei Darussalam;Brunei, Nation of Brunei, the Abode of Peace, BRN;;;;
Bulgaria;Republic of Bulgaria, BGR;;;;
Burkina Faso ;Upper Volta (former name, English), Haute-Volta (former name, French), Bourkina-Fasso, BFA;;;;
Burundi;Republic of Burundi, BDI;;;;
Cambodia ;Kingdom of Cambodia (official, English), Royaume du Cambodge (official, French), Kampuchea (former officially-sanctioned common name in the English language and transliteration from Khmer language), Khmer Republic (former official), Democratic Kampuchea (former official), People's Republic of Kampuchea (former official), State of Cambodia (former official), KHM;;;;
Cameroon ;Republic of Cameroon (official, English), United Republic of Cameroon (former official, English), CMR;;;;
