Albania;Republic of Albania (official, English), Republika e Shqip‘ris‘ (official, Albanian), Arnavutluk (Turkish);;;;;;;;;;;;
Algeria ;People's Democratic Republic of Algeria (official, English), al-Jaz_Õir (common, Arabic), al Jumhuriyya al Jazaa'iriyya ad-D_muqr__iyya ash Sha'biyya (official, Arabic);;;;;;;;;;;;
Argentina ;Argentine Republic (official, English), la Argentina (colloquial, Spanish), the Argentine (archaic, English), Argentine Nation (official and legally preferred, English), United Provinces of the R’o de la Plata (official, English), Argentine Confederation (official, English);;;;;;;;;;;;
Armenia ;Hayastan (transliterated Armenian, original: ________), Republic of Armenia (official, English);;;;;;;;;;;;
Australia ;Commonwealth of Australia (official, English), New Holland (former name, English);;;;;;;;;;;;
Austria ;Republic of Austria (official, English), Republik …sterreich (official, German), …sterreich (common, German);;;;;;;;;;;;
Azerbaijan ;Az_rbaycan Respublikasõ (official, Azerbaijani), Republic of Azerbaijan (official, English);;;;;;;;;;;;
Bangladesh;________ Bangladesh (common name, meaning the country of Bengal), ______________ ________ G™n™pr™jat™ntri Bangladesh (long official name in Bengali), People's Republic of Bangladesh (long official name in English), _____ Bangla (alternative name meaning the geographical land of Bengal), ____ B™ngg™ (Bongo, historical name for geographical area of Bengal), __________ G™nggarriddhi (ancient name for Bengal region), Bengal Presidency (former political name), _________ Purb™ B™ngg™/East Bengal (former political name), _____ _________ Purb™ Pakistan/East Pakistan (former political name).;;;;;;;;;;;;
Belarus;Republic of Belarus (official, English), Gudija (Lithuanian), Byelorussia (former name), White Russia (outdated);;;;;;;;;;;;
Belize;British Honduras (former, English);;;;;;;;;;;;
Benin;Dahomey (former name), Republic of Benin (official, English), R_publique du B_nin (official, French);;;;;;;;;;;;
Botswana;Bechuanaland (former, English), Republic of Botswana (official, English);;;;;;;;;;;;
Brazil;Pindorama (native, pre-colonization, Tupi-Guaran’), Terra de Santa Cruz (early Portuguese colonization), Ilha de Vera Cruz (former, Portuguese), Empire of Brazil (former, English), United States of Brazil (former, English), Federative Republic of Brazil (official, English), Repœblica Federativa do Brasil (official, Portuguese), Terra di Papaga (former, Italian);;;;;;;;;;;;
Burkina Faso ;Upper Volta (former name, English), Haute-Volta (former name, French), Bourkina-Fasso (unofficial French form in the first few days after the 1984 change from Upper Volta until the government clarified the official spelling);;;;;;;;;;;;
Cambodia ;Kingdom of Cambodia (official, English), Royaume du Cambodge (official, French), Kampuchea (former officially-sanctioned common name in the English language and transliteration from Khmer language), Khmer Republic (former official), Democratic Kampuchea (former official), People's Republic of Kampuchea (former official), State of Cambodia (former official);;;;;;;;;;;;
Cameroon ;Republic of Cameroon (official, English), United Republic of Cameroon (former official, English);;;;;;;;;;;;
Canada ;Dominion of Canada (historical long form, English), Dominion du Canada (historical long form, French), Acadia (French colony), Francisca (as labeled on an old map);;;;;;;;;;;;
Cape Verde ;"Cabo Verde (official, Portuguese and English; the Government of Cabo Verde now uses that form for official purposes in English as well as Portuguese)";;;;;;;;;;;;
Central African Republic ;Oubangui-Chari (former, French), Ubangi-Shari (English), R_publique Centrafricaine (official, French), Empire Centrafricain (former official, French), Central African Empire (English);;;;;;;;;;;;
Chile ;Republic of Chile (official, English), Chilli (Aymara), Chili (Quechua), Reyno de Chile (colonial Spanish), Capitania general de Chile (colonial Spanish);;;;;;;;;;;;
People's Republic of China (official common English);People's Republic of China (official) _______, PRC (initialism), China __ (common, ambiguous), Communist China (colloquial, mainly used by Western countries), Red China (colloquial, mainly derogatory), __ (colloquial and mainly derogatory, mainly used by the ROC with a cognate used in Vietnam), Mainland China/____/____ (colloquial, refers to the area that the PRC Government administers since the end of the Chinese Civil War), New China/___ (colloquial, pro-Communist), Shenzhou/__, Ch'in Empire, Cathay (obsolete, now mainly used poetically), Zhongguo is the name for China in Chinese language.;;;;;;;;;;;;
Republic of China (official common English);Republic of China (official, English), China __ (more common until 1971 but less common, ambiguous, English), ____ (official, Chinese), Taiwan (common since 1970s, ambiguous), __/__ (common, Chinese), ROC (initialism), Chinese Taipei/____ (international designation), Separate Customs Territory of Taiwan, Penghu, Kinmen and Matsu/_________________ (international designation), Taipei, China (designation used by China to imply that Taiwan is part of China), Taiwan, Province of China (UN designation), Nationalist China (obsolete, but still mainly used by Western countries), Free China (obsolete, pro-Nationalist), Formosa (former, English), Cathay (obsolete, now mainly used poetically), Zhongguo is the name for China in Chinese language, Qing dynasty (former name).;;;;;;;;;;;;
Democratic Republic of Congo ;"Zaire (former official name, 1971 to 1997; still occasionally used to distinguish it from Republic of the Congo), DRC (initialism), Congo Kinshasa (used in contrast to ";;Congo Brazzaville;;), Belgian Congo (former name during Belgian colonization, 1908 to 1960, English), Congo belge (former name, French), Congo Free State (former name, 1885 to 1908), Republic of the Congo (former name, 1960 to 1964, during which time both Congos had identical official names);;;;;;;;
Republic of Congo ;Congo (common), Congo Brazzaville (used in contrast to ;;Congo Kinshasa;;), French Congo (former name during French colonization, 1880 to 1910, English);;;;;;;;
Croatia ;"Hrvatska (official, Croatian; also in Serbian, Bosnian and Montenegrin), Hrva_ka (Slovenian)";;;;;;;;;;;;
Czech Republic ;_esk‡ republika (official, Czech, Slovak), _esko (common, Czech, Slovak), Czechia (rare, English), Bohemia (former, English);;;;;;;;;;;;
Djibouti (common);French Territory of the Afars and the Issas, French Somaliland, Obock Territory (former names, English), Territoire français des Afars et des Issas, C™te française des Somalis, Territoire d'Obock (former names, French), Republic of Djibouti (official, English), R_publique de Djibouti (official, French);;;;;;;;;;;;
Denmark ;Danmark (common, Danish, Swedish, Norwegian) Kingdom of Denmark (official, English), Kongeriget Danmark (official, Danish);;;;;;;;;;;;
Egypt (common);Mi_r (formal shortened, Arabic), Me_r (common, Arabic), Aegyptus (former, Latin), K_mi (Coptic) Arab Republic of Egypt (official, English),;;;;;;;;;;;;
Estonia (common);Eesti (common, Estonian), Viru (poetic, Estonian), Viro (common, Finnish), Estland (common, German, Swedish, Danish, Norwegian, Dutch), Maarjamaa (Terra Mariana poetic, Estonian), Igaunija (common, Latvian);;;;;;;;;;;;
Ethiopia (common);Abyssinia (former), Habeshastan (Turkish), Federal Democratic Republic of Ethiopia (official, English), Ethiopi‘ (common, Dutch), Al-Habasha (Arabic);;;;;;;;;;;;
Finland (common English and Swedish);Republic of Finland (official, English), Suomi (common, Finnish), Suomen tasavalta (official, Finnish), Republiken Finland (official, Swedish), Soome (common, Estonian);;;;;;;;;;;;
France (common English and French);French Republic (official, English), R_publique Française (official, French), L'Hexagone (often journalistic, colloquial French), Gaul (former name, English), Gaule (former name, French), ______ (Gallia) (Contemporary Greek name), La France (unofficial, French), Farança (common Arabic);;;;;;;;;;;;
Georgia ;Iberia (former, English, East Georgia), Colchis (former, English, West Georgia), Iveria (usually used as Christian name), Republic of Georgia (former, before the 1995 Constitution), _______ (Gorjestan) (Persian), Sakartvelo (in their own language);;;;;;;;;;;;
Germany ;Federal Republic of Germany (official, English), Bundesrepublik Deutschland (official, German), Deutschland (common, German), BRD (German initialism), FRG (English initialism) - all formerly meant only West Germany but now apply to reunified Germany Duitsland (common, Dutch) Former East Germany (unofficial, English): Deutsche Demokratische Republik (official, German), German Democratic Republic (official, English), DDR (German initialism), GDR (English initialism). In Romance languages Germany is referred to by varieties of Alemannia and in Slavic languages variants of Nemacia. Some languages use pars pro toto names like Bavaria or Saxony or the former Prussia.;;;;;;;;;;;;
Ghana ;Gold Coast (colonial, English), United Gold Coast Convention (UGCC);;;;;;;;;;;;
Greece (official English description);Hellas (official and common name), ______ (;;Hellada;; common name in Greek), _____ (;;Hellas;; official description in Greek), Yunanistan (Turkish), Hellenic Republic (official name of Greek state, English);;;;
Guinea-Bissau ;Portuguese Guinea (former, English), Republic of Guinea-Bissau (official, English), Guin_-Bissao (archaic, Portuguese), Guinea (shorthand, used when context clearly distinguishes Guinea-Bissau from the neighboring Republic of Guinea);;;;;;;;;;;;
